iter	Passed	Remaining
0	1	100
1	1	89
2	2	90
3	3	84
4	5	105
5	7	110
6	8	111
7	10	116
8	11	120
9	14	126
10	16	131
11	16	123
12	18	124
13	19	118
14	19	112
15	20	108
16	22	108
17	23	107
18	24	103
19	25	102
20	26	101
21	28	100
22	29	99
23	30	98
24	31	95
25	32	93
26	34	92
27	35	90
28	36	88
29	37	86
30	37	84
31	38	82
32	39	80
33	40	79
34	41	77
35	42	75
36	43	74
37	44	72
38	45	70
39	46	69
40	46	67
41	47	65
42	47	63
43	48	62
44	49	60
45	50	58
46	50	57
47	51	55
48	52	54
49	52	52
50	53	51
51	54	49
52	54	48
53	55	47
54	55	45
55	56	44
56	56	42
57	57	41
58	57	40
59	58	38
60	58	37
61	59	36
62	59	35
63	60	33
64	60	32
65	61	31
66	61	30
67	62	29
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	65	23
74	66	22
75	66	21
76	67	20
77	67	19
78	68	18
79	68	17
80	69	16
81	69	15
82	70	14
83	70	13
84	71	12
85	71	11
86	72	10
87	72	9
88	73	9
89	73	8
90	74	7
91	74	6
92	75	5
93	75	4
94	76	4
95	76	3
96	77	2
97	77	1
98	78	0
99	78	0
